t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.5000,-0.277348,-0.911067,0.952347,-0.366750,-1.204987,1.259563,98.8583,154.0623,101.8786,601.6732,14.5149,13.641415,5.6258,0
1.0000,-0.280634,-0.911012,0.953256,-0.371087,-1.204003,1.259892,105.3396,153.5951,97.6373,602.9172,15.0554,13.648824,5.6349,0
1.5000,-0.277702,-0.917739,0.958834,-0.366988,-1.207679,1.262208,92.3722,154.3050,0.0000,597.5500,14.5675,13.645022,5.6302,0
2.0000,-0.277453,-0.915650,0.956763,-0.369917,-1.205143,1.260638,96.2403,154.4602,0.0000,599.5141,14.1358,13.638863,5.6226,0
2.5000,-0.277740,-0.910545,0.951962,-0.367199,-1.204290,1.259027,99.4569,153.9925,105.1480,599.4958,14.9405,13.641908,5.6264,0
2.9999,-0.280512,-0.911920,0.954088,-0.370840,-1.204771,1.260553,105.6104,153.5986,83.0104,603.3975,15.5288,13.649401,5.6356,0
3.4999,-0.277576,-0.917732,0.958791,-0.367145,-1.207387,1.261974,92.5396,154.3868,0.0000,598.6554,13.7150,13.644764,5.6299,0
3.9999,-0.277317,-0.915086,0.956184,-0.369680,-1.205344,1.260760,95.7124,154.4406,0.0000,598.4451,15.0784,13.639954,5.6240,0
4.4999,-0.278204,-0.910106,0.951677,-0.367778,-1.203662,1.258596,100.0322,153.9229,106.9860,600.7773,15.2055,13.643358,5.6282,0
4.9999,-0.280233,-0.912975,0.955015,-0.370328,-1.205584,1.261180,105.2291,153.6236,71.2558,600.8291,15.3949,13.650207,5.6366,0
5.5000,-0.277482,-0.917670,0.958704,-0.367401,-1.207004,1.261682,93.5804,154.4438,0.0000,599.2271,12.9362,13.644170,5.6292,0
6.0000,-0.277200,-0.914407,0.955500,-0.369072,-1.205777,1.260996,94.8551,154.4186,5.3089,600.4098,15.9800,13.641968,5.6264,0
6.5000,-0.278708,-0.909777,0.951511,-0.368432,-1.203158,1.258305,101.0572,153.8515,108.8415,602.2904,15.3347,13.643189,5.6280,0
7.0000,-0.279822,-0.914121,0.955990,-0.369608,-1.206370,1.261721,103.6177,153.6795,54.2141,600.6024,15.2161,13.650836,5.6374,0
7.5000,-0.277432,-0.917557,0.958582,-0.367740,-1.206580,1.261376,94.8047,154.4756,0.0000,598.6571,12.6732,13.643941,5.6289,0
7.9999,-0.277138,-0.913686,0.954792,-0.368074,-1.206444,1.261343,95.0761,154.3874,23.3038,600.1266,16.0290,13.643429,5.6283,0
8.4999,-0.279203,-0.909585,0.951473,-0.369089,-1.202826,1.258180,102.2317,153.7819,110.4541,601.3586,15.4401,13.643617,5.6285,0
8.9999,-0.279345,-0.915216,0.956898,-0.368818,-1.207024,1.262114,101.5147,153.7622,34.4692,600.8594,14.9960,13.649554,5.6358,0
9.4999,-0.277436,-0.917377,0.958411,-0.368172,-1.206148,1.261088,95.6853,154.4918,0.0000,598.5198,12.4173,13.644260,5.6293,0
9.9999,-0.277065,-0.913050,0.954162,-0.367187,-1.206753,1.261380,96.9814,154.3269,46.8683,601.4166,15.3803,13.643495,5.6283,0
10.5000,-0.279690,-0.909533,0.951565,-0.369745,-1.202674,1.258227,102.8871,153.7195,111.2609,600.9216,15.4696,13.644789,5.6299,0
11.0000,-0.278846,-0.916202,0.957696,-0.368053,-1.207519,1.262365,99.1382,153.8674,13.0423,598.4749,14.8580,13.648382,5.6344,0
11.5000,-0.277491,-0.917117,0.958177,-0.368688,-1.205743,1.260852,96.2499,154.4973,0.0000,599.0450,12.3991,13.643679,5.6286,0
12.0000,-0.276979,-0.912514,0.953624,-0.366685,-1.206546,1.261036,98.3870,154.2531,71.8938,599.8160,14.6540,13.642103,5.6266,0
12.5000,-0.280114,-0.909643,0.951795,-0.370336,-1.202731,1.258456,103.3892,153.6714,112.0336,603.1412,15.1216,13.645452,5.6308,0
13.0000,-0.278409,-0.916951,0.958285,-0.367457,-1.207805,1.262465,96.3371,153.9872,0.0000,597.8842,14.7207,13.647452,5.6332,0
13.4999,-0.277556,-0.916797,0.957891,-0.369205,-1.205423,1.260697,96.6913,154.4937,0.0000,598.5851,12.5158,13.642337,5.6269,0
13.9999,-0.276982,-0.912010,0.953142,-0.366483,-1.206092,1.260543,98.8941,154.1794,89.3837,598.5417,14.2970,13.642119,5.6266,0
14.4999,-0.280436,-0.909944,0.952178,-0.370813,-1.203014,1.258866,104.2723,153.6321,112.0862,602.6671,14.8328,13.646117,5.6316,0
14.9999,-0.278067,-0.917438,0.958652,-0.367089,-1.207898,1.262447,93.9542,154.1138,0.0000,599.3532,14.7149,13.646087,5.6315,0
15.5000,-0.277581,-0.916419,0.957536,-0.369645,-1.205202,1.260614,96.7470,154.4838,0.0000,597.5815,12.6765,13.640878,5.6251,0
16.0000,-0.277139,-0.911464,0.952666,-0.366548,-1.205479,1.259975,98.7251,154.1102,98.1217,600.4340,14.3063,13.641936,5.6264,0
16.5000,-0.280615,-0.910484,0.952746,-0.371078,-1.203526,1.259434,105.0416,153.6041,106.7669,601.9735,14.8288,13.647949,5.6338,0
17.0000,-0.277824,-0.917681,0.958814,-0.366958,-1.207821,1.262335,92.7133,154.2325,0.0000,598.2605,15.1795,13.645087,5.6303,0
17.5000,-0.277532,-0.915998,0.957119,-0.369895,-1.205112,1.260602,96.4328,154.4717,0.0000,599.2542,13.4566,13.639425,5.6233,0
18.0000,-0.277446,-0.910916,0.952232,-0.366857,-1.204792,1.259407,99.0137,154.0433,103.0117,601.1643,14.6330,13.641394,5.6257,0
18.4999,-0.280617,-0.911245,0.953474,-0.371047,-1.204207,1.260075,105.4272,153.5942,92.8079,603.4668,15.1951,13.649064,5.6352,0
18.9999,-0.277663,-0.917744,0.958828,-0.367020,-1.207608,1.262149,92.3383,154.3301,0.0000,597.5669,14.3314,13.644979,5.6302,0
19.4999,-0.277416,-0.915504,0.956612,-0.369884,-1.205179,1.260662,96.1490,154.4550,0.0000,599.0822,14.3529,13.638938,5.6227,0
19.9999,-0.277863,-0.910412,0.951871,-0.367350,-1.204105,1.258894,99.6062,153.9730,105.7243,599.4271,15.0352,13.642339,5.6269,0
20.5000,-0.280443,-0.912223,0.954358,-0.370712,-1.205013,1.260747,105.6126,153.6034,80.0506,602.7020,15.4839,13.649582,5.6359,0
21.0000,-0.277544,-0.917719,0.958769,-0.367210,-1.207282,1.261893,92.7646,154.4063,0.0000,599.1351,13.4618,13.644598,5.6297,0
