t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.5000,-0.066847,-1.100198,1.102227,-0.081693,-1.341822,1.344306,287.8850,250.3186,210.4634,224.4920,13.8725,13.445911,5.3873,0
1.0000,-0.066623,-1.101133,1.103147,-0.081331,-1.342064,1.344526,287.6942,250.2216,158.1575,224.3306,13.6916,13.445935,5.3874,0
1.5000,-0.066476,-1.101928,1.103932,-0.081126,-1.343991,1.346437,287.6645,250.1432,212.2159,224.5313,13.9047,13.445889,5.3873,0
2.0000,-0.066191,-1.102787,1.104771,-0.080845,-1.344763,1.347191,288.4210,250.0343,193.0007,224.7942,13.9223,13.446160,5.3876,0
2.5000,-0.066051,-1.103632,1.105607,-0.080608,-1.345655,1.348067,288.0740,249.9658,182.3354,224.6465,13.8702,13.446334,5.3878,0
3.0000,-0.065772,-1.104396,1.106353,-0.080435,-1.346978,1.349378,288.6341,249.8699,211.9396,224.6912,13.8650,13.446555,5.3881,0
3.5000,-0.065588,-1.105283,1.107227,-0.080127,-1.346899,1.349280,288.0649,249.7919,147.4829,224.5082,13.5492,13.446774,5.3884,0
4.0000,-0.065403,-1.105997,1.107929,-0.079881,-1.348858,1.351221,288.0343,249.7158,209.2646,224.4233,13.8199,13.446768,5.3884,0
4.5000,-0.065154,-1.106843,1.108759,-0.079517,-1.349148,1.351489,288.3079,249.6166,165.5515,224.5648,13.7552,13.446790,5.3884,0
4.9999,-0.065026,-1.107579,1.109487,-0.079325,-1.350862,1.353189,288.5026,249.5470,208.9649,224.9424,13.8044,13.446828,5.3884,0
5.5000,-0.064728,-1.108333,1.110221,-0.079106,-1.351655,1.353968,289.0920,249.4497,201.5754,224.9794,13.8605,13.447059,5.3887,0
6.0000,-0.064580,-1.109138,1.111017,-0.078910,-1.351851,1.354153,288.5203,249.3866,159.0213,224.6936,13.6413,13.447539,5.3893,0
6.5000,-0.064335,-1.109802,1.111665,-0.078650,-1.353495,1.355778,288.7834,249.3072,209.9845,224.7682,13.8326,13.447391,5.3891,0
7.0000,-0.064131,-1.110624,1.112474,-0.078310,-1.353304,1.355568,288.4527,249.2265,143.8515,224.5781,13.5274,13.447597,5.3894,0
7.5000,-0.063982,-1.111268,1.113108,-0.078100,-1.355304,1.357552,288.3245,249.1613,210.0664,224.5642,13.8394,13.447521,5.3893,0
8.0000,-0.063707,-1.112022,1.113846,-0.077757,-1.355656,1.357884,288.9739,249.0648,176.4307,224.8805,13.7928,13.447545,5.3893,0
8.5000,-0.063587,-1.112718,1.114533,-0.077574,-1.356847,1.359063,289.0461,249.0063,186.9902,224.9498,13.8336,13.447909,5.3897,0
9.0000,-0.063293,-1.113368,1.115166,-0.077393,-1.357847,1.360051,289.5352,248.9203,206.2002,225.0186,13.7870,13.447860,5.3897,0
9.5000,-0.063132,-1.114133,1.115921,-0.077164,-1.357572,1.359763,288.8850,248.8582,142.8787,224.7706,13.4705,13.448461,5.3904,0
10.0000,-0.062928,-1.114714,1.116489,-0.076890,-1.359437,1.361610,288.8613,248.7936,208.1158,224.7062,13.7658,13.448161,5.3900,0
10.5000,-0.062700,-1.115465,1.117226,-0.076519,-1.359252,1.361404,288.8899,248.7100,147.3481,224.6951,13.5730,13.448253,5.3901,0
11.0000,-0.062577,-1.116055,1.117808,-0.076351,-1.361164,1.363304,288.9453,248.6517,210.0290,224.9747,13.7931,13.448298,5.3902,0
11.5000,-0.062282,-1.116717,1.118452,-0.076052,-1.361580,1.363703,289.6189,248.5637,187.7898,225.1385,13.7767,13.448240,5.3901,0
12.0000,-0.062160,-1.117385,1.119113,-0.075937,-1.362029,1.364145,289.2214,248.5125,165.7589,224.9482,13.6691,13.449054,5.3911,0
12.5000,-0.061889,-1.117941,1.119653,-0.075687,-1.363399,1.365498,289.6986,248.4410,208.7707,225.0158,13.7747,13.448574,5.3905,0
13.0000,-0.061712,-1.118660,1.120361,-0.075401,-1.362879,1.364963,289.1814,248.3764,134.2316,224.8319,13.3970,13.449150,5.3912,0
13.5000,-0.061548,-1.119175,1.120866,-0.075160,-1.364871,1.366939,288.9709,248.3230,207.9294,224.6519,13.7598,13.448839,5.3909,0
14.0000,-0.061291,-1.119849,1.121525,-0.074776,-1.364754,1.366801,289.3934,248.2391,156.1075,224.9115,13.6319,13.448803,5.3908,0
14.5000,-0.061187,-1.120403,1.122072,-0.074637,-1.366356,1.368393,289.6932,248.1879,200.1969,225.1940,13.7334,13.449165,5.3912,0
15.0000,-0.060883,-1.120972,1.122624,-0.074391,-1.366927,1.368949,290.1546,248.1103,197.2619,225.2793,13.7282,13.448889,5.3909,0
15.5000,-0.060753,-1.121615,1.123260,-0.074278,-1.366756,1.368773,289.5956,248.0619,146.3813,224.9971,13.4695,13.449951,5.3922,0
16.0000,-0.060517,-1.122092,1.123722,-0.073983,-1.368407,1.370405,289.6972,248.0052,207.9934,225.0063,13.7361,13.449233,5.3913,0
16.5000,-0.060317,-1.122759,1.124378,-0.073649,-1.367808,1.369789,289.4735,247.9374,132.2942,224.8829,13.4005,13.449659,5.3918,0
17.0000,-0.060187,-1.123222,1.124833,-0.073460,-1.369835,1.371803,289.2922,247.8908,208.8705,224.8585,13.7801,13.449478,5.3916,0
17.5000,-0.059907,-1.123817,1.125412,-0.073088,-1.369803,1.371752,289.9333,247.8113,167.4760,225.1647,13.6594,13.449301,5.3914,0
18.0000,-0.059809,-1.124349,1.125938,-0.072996,-1.370805,1.372747,289.8572,247.7692,179.6551,225.1718,13.7510,13.450167,5.3925,0
18.5000,-0.059513,-1.124830,1.126403,-0.072759,-1.371713,1.373642,290.4929,247.7011,203.0167,225.3246,13.6843,13.449495,5.3916,0
19.0000,-0.059369,-1.125446,1.127011,-0.072592,-1.371109,1.373030,289.8675,247.6523,132.6288,225.0534,13.3383,13.450600,5.3930,0
19.5000,-0.059173,-1.125857,1.127411,-0.072303,-1.372966,1.374869,289.6957,247.6077,206.6436,224.9051,13.6972,13.449846,5.3921,0
20.0000,-0.058948,-1.126466,1.128007,-0.071928,-1.372386,1.374270,289.8028,247.5375,136.1772,224.9803,13.4477,13.450043,5.3923,0
20.5000,-0.058844,-1.126892,1.128427,-0.071792,-1.374316,1.376189,289.8928,247.4951,207.5043,225.2092,13.7098,13.450162,5.3924,0
21.0000,-0.058546,-1.127407,1.128926,-0.071455,-1.374400,1.376256,290.4608,247.4237,179.3482,225.3711,13.6513,13.449772,5.3920,0
21.5000,-0.058445,-1.127926,1.129439,-0.071436,-1.374702,1.376557,290.1353,247.3858,158.7210,225.2022,13.5513,13.451114,5.3936,0
22.0000,-0.058173,-1.128328,1.129826,-0.071142,-1.375991,1.377829,290.5970,247.3317,204.8632,225.2943,13.6984,13.450060,5.3923,0
22.5000,-0.058012,-1.128912,1.130402,-0.070901,-1.375142,1.376968,290.0833,247.2802,124.7187,225.0961,13.2814,13.451045,5.3935,0
23.0000,-0.057854,-1.129271,1.130752,-0.070652,-1.377132,1.378943,289.7594,247.2439,206.6764,224.8533,13.7062,13.450402,5.3927,0
23.5000,-0.057603,-1.129817,1.131284,-0.070253,-1.376621,1.378413,290.1810,247.1741,144.2886,225.1473,13.4996,13.450363,5.3927,0
24.0000,-0.057516,-1.130220,1.131682,-0.070161,-1.378247,1.380031,290.5114,247.1367,196.3679,225.3721,13.6818,13.450924,5.3934,0
24.5000,-0.057212,-1.130656,1.132103,-0.069870,-1.378552,1.380322,290.9149,247.0740,189.9990,225.5053,13.6256,13.450228,5.3925,0
25.0000,-0.057103,-1.131163,1.132604,-0.069847,-1.378255,1.380024,290.4390,247.0379,140.9970,225.2387,13.3782,13.451829,5.3944,0
25.5000,-0.056863,-1.131499,1.132927,-0.069530,-1.379828,1.381579,290.5160,246.9970,206.6272,225.2168,13.6735,13.450585,5.3930,0
26.0000,-0.056680,-1.132045,1.133463,-0.069223,-1.378884,1.380620,290.2856,246.9419,122.1742,225.1327,13.2821,13.451336,5.3939,0
26.5000,-0.056556,-1.132364,1.133776,-0.069032,-1.380931,1.382656,290.0141,246.9103,207.4789,225.0154,13.7260,13.450940,5.3934,0
27.0000,-0.056283,-1.132844,1.134242,-0.068632,-1.380520,1.382225,290.5964,246.8445,155.1122,225.3445,13.5316,13.450655,5.3930,0
27.5000,-0.056204,-1.133237,1.134630,-0.068601,-1.381595,1.383297,290.6119,246.8141,178.5323,225.3680,13.6872,13.451797,5.3944,0
28.0000,-0.055906,-1.133598,1.134975,-0.068321,-1.382269,1.383956,291.2263,246.7591,197.7310,225.5726,13.6019,13.450680,5.3931,0
28.5000,-0.055784,-1.134091,1.135462,-0.068241,-1.381523,1.383208,290.6568,246.7225,127.8408,225.2775,13.2596,13.452322,5.3950,0
29.0000,-0.055582,-1.134372,1.135733,-0.067931,-1.383304,1.384971,290.4328,246.6922,205.6364,225.1122,13.6439,13.451076,5.3935,0
29.5000,-0.055374,-1.134875,1.136225,-0.067574,-1.382363,1.384014,290.5065,246.6347,124.5391,225.1972,13.3190,13.451520,5.3941,0
30.0000,-0.055277,-1.135166,1.136511,-0.067444,-1.384358,1.386000,290.5075,246.6052,206.5142,225.3121,13.6687,13.451517,5.3941,0
30.5000,-0.054986,-1.135580,1.136910,-0.067065,-1.384083,1.385707,291.0212,246.5463,167.0253,225.5194,13.5393,13.450942,5.3934,0
31.0000,-0.054907,-1.135969,1.137295,-0.067119,-1.384504,1.386130,290.8121,246.5189,159.5486,225.4011,13.5147,13.452626,5.3954,0
31.5000,-0.054628,-1.136261,1.137574,-0.066795,-1.385582,1.387191,291.3556,246.4757,202.1398,225.5620,13.6140,13.451125,5.3936,0
32.0000,-0.054490,-1.136736,1.138042,-0.066634,-1.384540,1.386142,290.8172,246.4367,119.5144,225.3092,13.1964,13.452626,5.3954,0
32.5000,-0.054326,-1.136975,1.138272,-0.066361,-1.386476,1.388063,290.4199,246.4136,205.4329,225.0262,13.6496,13.451533,5.3941,0
33.0000,-0.054093,-1.137428,1.138714,-0.065966,-1.385592,1.387161,290.7631,246.3559,130.8289,225.3099,13.3665,13.451656,5.3942,0
33.5000,-0.054017,-1.137704,1.138985,-0.065892,-1.387371,1.388935,291.0613,246.3291,198.8512,225.4967,13.6209,13.452150,5.3948,0
34.0000,-0.053716,-1.138051,1.139318,-0.065550,-1.387317,1.388865,291.4177,246.2774,178.7373,225.6510,13.5342,13.451234,5.3937,0
34.5000,-0.053631,-1.138439,1.139702,-0.065620,-1.387140,1.388691,291.0822,246.2514,142.4256,225.4302,13.3539,13.453263,5.3962,0
35.0000,-0.053381,-1.138673,1.139924,-0.065282,-1.388535,1.390069,291.2979,246.2203,203.3395,225.4617,13.6233,13.451552,5.3941,0
35.5000,-0.053223,-1.139125,1.140368,-0.065039,-1.387336,1.388860,290.9499,246.1776,114.6296,225.3344,13.1810,13.452782,5.3956,0
36.0000,-0.053092,-1.139331,1.140567,-0.064821,-1.389370,1.390882,290.5434,246.1585,206.0661,225.0872,13.6773,13.451973,5.3946,0
36.5000,-0.052837,-1.139732,1.140956,-0.064407,-1.388580,1.390073,291.0567,246.1032,140.0701,225.4560,13.4063,13.451777,5.3944,0
37.0000,-0.052773,-1.140003,1.141224,-0.064393,-1.389936,1.391427,291.3015,246.0813,182.3460,225.5225,13.6447,13.452870,5.3957,0
37.5000,-0.052473,-1.140285,1.141492,-0.064077,-1.390221,1.391697,291.7319,246.0356,188.5749,225.7399,13.5261,13.451543,5.3941,0
38.0000,-0.052379,-1.140671,1.141873,-0.064109,-1.389553,1.391032,291.2760,246.0095,130.3904,225.4553,13.2326,13.453700,5.3967,0
38.5000,-0.052161,-1.140858,1.142050,-0.063777,-1.391181,1.392642,291.1316,245.9887,204.9768,225.3291,13.6027,13.451945,5.3946,0
