t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.5000,-0.431613,0.107021,0.444683,-1.815756,0.441528,1.868667,410.0843,0.0000,0.0000,109.7591,4.7521,12.969369,4.8346,0
1.0000,0.570032,1.259997,1.382943,-1.792817,0.984576,2.045381,53.1564,0.0000,0.0000,1552.3093,1.4359,16.152294,9.3391,0
1.5000,-0.514993,2.288769,2.345993,-1.898515,3.051509,3.593893,39.3601,28.7053,0.0000,474.8990,3.3559,14.972930,7.4392,0
2.0001,0.316595,1.934773,1.960505,-0.352962,4.832312,4.845185,51.0385,111.4569,0.0000,1240.2213,2.4151,12.721472,4.5626,0
2.5001,-1.217727,1.650950,2.051462,0.176318,3.259115,3.263881,18.7361,0.0000,0.0000,547.1316,3.7496,12.692337,4.5314,0
3.0001,-1.706855,1.713337,2.418446,-1.326255,3.224068,3.486197,96.6192,580.2584,0.0000,891.6311,3.0927,14.683620,7.0162,0
3.5001,0.830527,1.956196,2.125201,1.559345,4.244233,4.521623,9.5997,0.0000,0.0000,2114.2588,1.1207,15.196738,7.7778,0
4.0001,-0.953913,1.764487,2.005833,-2.182341,2.867491,3.603487,36.5877,0.0000,0.0000,412.1283,6.3865,12.144198,3.9693,0
4.5001,0.100357,2.281610,2.283816,-0.196616,3.556173,3.561604,70.4397,0.0000,0.0000,501.7630,5.0696,10.903595,2.8728,0
5.5000,0.527960,1.919293,1.990584,-1.246698,0.584773,1.377031,64.7675,0.0000,0.0000,1126.6660,1.9782,14.351840,6.5513,0
6.0000,-0.626537,2.130846,2.221048,0.884271,3.200261,3.320181,599.0521,0.0000,0.0000,228.5628,7.4212,13.991285,6.0698,0
6.5001,-0.817131,0.919320,1.229980,0.853331,0.929653,1.261914,186.9353,0.0000,0.0000,1204.6507,4.3583,10.807149,2.7973,0
7.0001,-0.204412,1.791272,1.802898,-0.071975,3.318888,3.319668,47.0093,0.0000,0.0000,869.1979,0.8893,14.577474,6.8651,0
7.5001,0.017345,1.363719,1.363829,-2.419419,1.467062,2.829463,277.3413,0.0000,0.0000,1491.3087,1.9287,13.965462,6.0363,0
8.0001,-0.501129,1.468311,1.551473,0.017979,3.344407,3.344455,45.7710,0.0000,0.0000,0.0000,2.5638,12.506182,4.3349,0
8.5001,-0.419933,2.164116,2.204482,-0.431171,4.373424,4.394627,29.2691,0.0000,0.0000,1986.0509,4.4525,17.906894,11.1918,0
9.0001,-1.354562,1.078989,1.731778,-1.797856,1.147334,2.132759,27.1691,0.0000,0.0000,1137.6765,16.3703,10.766116,2.7655,0
9.5001,0.044215,1.617338,1.617942,-1.160888,4.210454,4.367560,153.3663,0.0000,0.0000,2582.0728,2.7368,16.520374,9.9922,0
10.5000,-0.240721,0.609752,0.655549,1.827972,1.550517,2.396995,5.9421,0.0000,0.0000,337.2943,4.5864,11.083513,3.0174,0
11.0001,-0.833143,2.020992,2.185986,-0.412502,2.940948,2.969736,10.9244,0.0000,0.0000,76.9478,2.8271,12.694402,4.5336,0
11.5001,0.721056,2.235415,2.348830,1.134061,0.669471,1.316922,0.0000,69.1753,0.0000,676.9464,1.7369,11.264380,3.1676,0
12.0001,1.054416,1.705443,2.005076,1.672093,1.473438,2.228657,445.1742,0.0000,0.0000,442.9681,0.4597,14.049554,6.1460,0
12.5001,0.372168,1.680503,1.721220,0.947400,1.135696,1.478976,154.8410,0.0000,0.0000,420.5185,0.9130,12.462681,4.2898,0
13.0001,-0.674360,1.826803,1.947299,1.060614,1.998273,2.262299,798.2618,35.1275,0.0000,244.7372,1.1997,17.716507,11.0728,0
13.5001,0.856932,1.452901,1.686788,-0.040846,4.422241,4.422430,144.5935,192.9765,0.0000,503.1867,3.6677,15.320444,7.9692,0
14.0001,-0.641689,1.972538,2.074288,-1.808244,3.006332,3.508244,17.3488,138.2193,0.0000,683.6774,3.9233,14.153933,6.2840,0
14.5001,-0.471961,1.550477,1.620717,2.167959,2.445267,3.267931,83.6981,0.0000,0.0000,0.0000,3.1569,11.058809,2.9973,0
15.5001,-0.766514,2.212067,2.341107,-0.803236,2.053555,2.205057,22.8127,113.4510,0.0000,605.2005,5.1843,12.473558,4.3010,0
16.0001,-1.342770,1.629173,2.111216,-1.418410,1.994248,2.447225,9.4883,0.0000,0.0000,769.5856,14.2851,12.122773,3.9483,0
16.5001,-0.226499,2.011910,2.024620,-0.192729,3.940792,3.945502,71.9661,0.0000,0.0000,66.4317,6.0337,11.434967,3.3137,0
17.0001,0.416530,2.208699,2.247632,1.770249,2.474182,3.042262,38.0793,0.0000,0.0000,417.5068,2.8494,11.310841,3.2069,0
17.5001,0.555647,1.161228,1.287320,-0.114701,3.720191,3.721958,634.9956,293.6187,0.0000,710.5659,1.5626,14.410778,6.6323,0
18.0001,0.258879,2.773415,2.785471,2.079835,3.480857,4.054883,108.4582,0.0000,0.0000,1346.0438,0.8167,18.044505,11.2778,0
18.5001,0.090563,1.702822,1.705228,-0.841709,3.448581,3.549815,73.6627,0.0000,0.0000,470.4168,2.5634,15.473710,8.2108,0
19.0001,-0.910806,1.659479,1.892997,-2.308740,3.111165,3.874226,94.1796,0.0000,0.0000,1015.0225,4.5169,14.949162,7.4038,0
19.5002,0.052826,2.551775,2.552322,2.122466,4.660213,5.120786,16.0244,21.6178,0.0000,1225.0117,1.2738,13.353223,5.2767,0
20.5001,-1.021703,2.429884,2.635946,-0.750920,3.774427,3.848400,67.4463,0.0000,0.0000,85.4399,14.1745,10.463130,2.5386,0
21.0001,-0.593780,2.111635,2.193531,-1.447355,3.601270,3.881235,56.5521,155.1661,0.0000,635.3044,4.4354,12.275547,4.0995,0
21.5001,-0.471833,2.444305,2.489428,1.244549,3.362687,3.585605,92.0644,0.0000,0.0000,395.7007,4.2974,10.952920,2.9120,0
22.0001,0.079522,2.531732,2.532981,-0.903755,4.024253,4.124486,61.8666,69.0078,0.0000,782.1664,3.5595,13.379064,5.3074,0
22.5001,-0.389923,2.530367,2.560233,-0.654687,3.489283,3.550171,17.4035,48.5575,0.0000,532.5546,10.6226,10.762329,2.7626,0
23.0001,0.081657,2.477803,2.479148,-0.369806,3.783964,3.801991,28.1759,252.7400,0.0000,1140.9732,2.2434,14.988238,7.4620,0
