# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=853d551032f8897bff093f85f0575f397e5b4d9f
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,0,1,1.0e9,reject,5.1,5.08,458.99,1.63,false,2.89,6,9,3,2.4,0.575,0.0,0.0,0.7,0.7,18.8,2.4,0.575109,2.0,6.0,0.0,3.0,0.0,0.0,0.7,0.7
1,0,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.74,4,25,2,1.328,0.473,8.6,17.7,0.761,0.46,18.8,1.32834,0.472545,1.465454,3.998632,0.043224,1.966044,8.594595,17.660776,0.760905,0.460218
1,0,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.81,3,14,2,1.065,0.472,7.9,5.7,0.444,0.197,18.8,1.065021,0.472202,2.745127,3.07739,0.408804,1.693483,7.913269,5.724129,0.443921,0.196819
1,0,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.81,5,4,3,3.352,0.492,2.9,17.8,0.359,0.896,18.8,3.351675,0.492468,2.173715,4.62206,-0.755405,2.98487,2.910628,17.807358,0.359463,0.895662
1,0,5,1.0e9,reject,4.46,4.46,399.52,2.77,false,2.99,8,7,3,2.245,0.734,13.1,2.1,0.612,0.249,18.8,2.244841,0.733806,2.320159,8.076214,0.440669,2.939817,13.116551,2.06041,0.612093,0.249215
1,0,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.79,5,16,2,0.848,0.722,13.1,8.5,0.444,0.971,18.8,0.848094,0.722169,1.801579,4.503116,-0.559748,1.739322,13.122701,8.512743,0.444328,0.971247
1,0,7,1.0e9,reject,2.76,2.73,589.17,0.4,false,3.48,5,15,2,3.993,0.477,19.4,10.8,0.747,0.879,18.8,3.993357,0.477184,1.195751,5.461741,-0.043734,1.538848,19.400365,10.803417,0.746668,0.878607
1,0,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.61,6,11,2,1.595,0.825,9.8,16.4,0.198,0.614,18.8,1.595208,0.825325,2.028055,5.748034,-0.18675,1.964632,9.807365,16.42733,0.197899,0.613723
1,0,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.7,7,26,2,2.119,0.318,8.2,19.6,0.254,0.266,18.8,2.118511,0.318304,1.416149,6.604562,-0.399369,2.040832,8.172484,19.60595,0.253724,0.266289
1,0,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.3,9,26,1,4.081,0.444,16.9,0.5,0.331,0.967,18.8,4.081286,0.443745,1.120302,8.986263,-0.376878,1.271358,16.879867,0.463019,0.331167,0.967247
1,1,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.25,9,24,2,4.32,0.297,0.0,15.6,0.7,0.849,18.8,4.32,0.296776,1.0,9.0,-0.8,1.721492,0.0,15.6259,0.7,0.849121
1,1,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.29,5,22,1,3.239,0.473,13.2,3.1,0.211,0.46,18.8,3.239169,0.472545,1.423631,5.0,-0.399622,1.0,13.165935,3.078061,0.211131,0.460218
1,1,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.77,8,17,3,1.22,0.45,4.9,15.1,0.185,0.14,18.8,1.220444,0.45011,1.993664,8.0,0.408804,2.760393,4.945011,15.115395,0.184605,0.14
1,1,4,1.0e9,reject,2.75,2.37,337.3,0.02,false,2.99,9,8,2,3.352,0.492,13.4,0.0,0.322,0.626,18.8,3.351675,0.492468,2.173715,9.0,0.051676,1.843978,13.380976,0.0,0.3216,0.626362
1,1,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.72,5,25,2,1.187,0.394,13.1,2.1,0.48,0.746,18.8,1.187067,0.393742,1.405211,5.0,-0.697474,1.788681,13.116551,2.06041,0.48049,0.746194
1,1,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.26,9,15,3,0.848,0.461,0.8,7.7,0.444,0.14,18.8,0.848094,0.460645,2.667758,9.0,0.474569,2.970714,0.795953,7.668791,0.444328,0.14
1,1,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.4,6,22,2,0.7,0.7,9.8,15.9,0.334,0.758,18.8,0.7,0.785593,1.195751,6.0,-0.336924,2.362276,9.782466,15.914242,0.333707,0.757909
1,1,8,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.01,9,5,2,4.083,0.433,9.5,16.4,0.143,0.249,18.8,4.083313,0.433212,2.182307,9.0,0.285834,1.964632,9.497468,16.42733,0.143479,0.249402
1,1,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,6.04,9,21,2,2.638,0.415,8.2,20.9,0.214,0.14,18.8,2.637761,0.414838,1.416149,9.0,0.530009,2.040832,8.172484,20.85524,0.214341,0.14
1,1,10,1.0e9,reject,2.38,2.2,296.18,0.01,false,1.51,9,5,2,3.776,0.473,11.5,6.7,0.331,0.52,18.8,3.776141,0.47269,2.555205,9.0,0.396347,2.32903,11.536339,6.712494,0.331167,0.520356
