# v13_5kw_masslift telemetry  length=21.2  window=20.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-428f491_mass-aware-const-tension_ON  git=unknown
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,0,1,-1.883,ok,5.77,4.62,1239.18,7.51,false,3.65,6,6,2,0.914,0.914,15.0,15.0,0.519,0.1,21.2,0.018974,0.01,0.88,1.0,0.913582,0.632456,2.988,6.0,-0.11,18.56,15.0,15.0,0.519,0.1
1,0,2,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.36,13,5,2,1.491,1.491,0.7,1.7,0.699,0.517,21.2,0.01278,0.011608,0.667555,0.599726,1.490523,0.621718,2.24356,13.435913,0.355172,7.074586,0.664082,1.745346,0.69866,0.517455
1,0,3,-2.678,ok,5.6,4.65,1811.76,6.56,false,7.72,9,4,1,2.128,1.5,15.6,17.4,0.17,0.711,21.2,0.023821,0.011734,0.756531,0.712225,2.128387,0.356101,2.733029,9.054623,-0.224953,14.806448,15.647996,17.418231,0.170072,0.71105
1,0,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.41,9,5,2,1.896,1.5,12.0,18.6,0.907,0.705,21.2,0.013688,0.010586,0.536704,0.836613,1.896431,0.92768,2.527046,9.456987,-0.408605,0.843332,12.014329,18.570685,0.906717,0.705379
1,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.72,7,6,2,0.982,0.982,1.5,11.1,0.562,0.379,21.2,0.014295,0.01053,1.289095,0.733047,0.981891,0.323747,3.229717,7.352579,0.277284,15.600769,1.502012,11.057303,0.562436,0.379435
1,0,6,-5.107,ok,6.38,5.67,2769.34,23.66,false,6.88,14,5,1,1.285,1.285,16.5,3.3,0.307,0.615,21.2,0.026476,0.011534,1.121746,0.928781,1.284784,0.883927,2.96569,13.721637,0.58814,12.247538,16.462607,3.284944,0.307285,0.614694
1,0,7,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.73,3,6,2,0.996,0.996,2.6,20.0,0.699,0.511,21.2,0.015618,0.014554,0.826441,1.190203,0.99639,0.927788,3.234265,3.421737,0.131726,1.599757,2.591921,20.000249,0.698754,0.511287
1,0,8,6.807,ok,3.71,2.34,1230.14,11.8,false,5.56,6,4,1,1.337,1.337,11.5,3.1,0.732,0.975,21.2,0.009663,0.010796,0.725917,0.930243,1.336808,0.316273,3.712109,5.693487,-0.743872,6.410558,11.542103,3.086393,0.731738,0.974816
1,0,9,-3.814,ok,6.12,5.22,1419.03,10.07,false,6.91,7,4,1,1.232,1.232,16.3,21.2,0.377,0.518,21.2,0.012624,0.011413,0.892123,0.855108,1.232341,0.520678,3.97329,6.530598,-0.347853,15.450987,16.268161,21.161055,0.377359,0.5179
1,0,10,6.205,ok,3.69,2.34,2407.69,2.27,false,3.1,12,5,2,1.751,1.5,18.1,9.9,0.698,0.093,21.2,0.026475,0.014646,1.221675,0.626234,1.751358,0.487773,2.418565,12.168023,-0.534672,17.637366,18.080918,9.91502,0.698233,0.09312
1,1,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.18,16,13,2,0.914,0.914,3.5,17.5,0.881,0.348,21.2,0.016123,0.011221,0.49111,1.0,0.913582,0.632456,1.37977,16.0,0.450002,1.36209,3.516087,17.523017,0.880875,0.348075
1,1,2,3.736,ok,4.93,3.2,667.8,8.37,false,3.81,3,7,2,0.764,0.764,0.0,22.0,0.894,0.331,21.2,0.009487,0.013785,0.954737,1.040146,0.764181,0.498334,3.436677,3.0,0.355172,7.074586,0.0,22.0,0.894363,0.330929
1,1,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.67,14,5,2,1.218,1.218,19.5,14.8,0.104,0.711,21.2,0.028363,0.011928,1.227693,0.712225,1.218192,0.948683,3.132177,14.0,0.8,18.010273,19.475188,14.806465,0.1038,0.71105
1,1,4,2.282,ok,4.8,3.4,1829.2,1.92,false,5.55,9,7,1,1.033,1.033,2.7,7.4,0.65,0.579,21.2,0.025345,0.014639,0.98768,1.241935,1.033215,0.92768,2.526742,9.0,0.788967,0.0,2.728459,7.447881,0.64955,0.579254
1,1,5,3.064,ok,4.55,3.15,1609.19,17.36,false,6.04,8,4,1,1.482,1.482,19.5,0.7,0.562,0.995,21.2,0.010316,0.01,1.289095,0.74943,1.482062,0.323747,3.229717,8.0,-0.8,13.482208,19.472111,0.682741,0.562436,0.995279
1,1,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.54,5,4,2,1.294,1.294,16.5,22.0,0.93,0.615,21.2,0.010321,0.013789,1.127437,0.585728,1.294206,0.883927,3.356838,5.0,-0.62174,19.0,16.462607,22.0,0.930294,0.614694
1,1,7,-2.8,ok,5.56,4.67,670.86,16.8,false,8.0,3,4,1,1.855,1.5,2.6,0.0,0.142,1.0,21.2,0.02248,0.014554,1.32,0.669693,1.854809,0.599828,3.234265,3.0,-0.633197,17.185999,2.591921,0.0,0.142094,1.0
1,1,8,7.411,ok,3.83,2.14,664.79,6.49,false,1.65,3,5,2,1.317,1.317,11.5,12.7,0.402,0.373,21.2,0.009663,0.012138,1.020324,0.816618,1.317045,0.431371,3.178097,3.0,-0.8,19.0,11.542103,12.67492,0.402078,0.372719
1,1,9,-2.403,ok,5.55,4.57,1229.46,4.99,false,8.08,6,4,1,2.2,1.5,4.8,21.2,0.104,0.714,21.2,0.012624,0.014666,0.776429,0.660888,2.2,0.520678,2.735957,6.0,-0.117559,17.191093,4.77987,21.161055,0.1038,0.714089
1,1,10,9.102,ok,3.67,1.9,868.25,10.42,false,1.55,4,5,2,0.962,0.962,8.6,12.5,0.703,0.384,21.2,0.026475,0.010796,0.456097,1.095507,0.961866,0.519883,3.552684,4.0,-0.288781,9.759628,8.592511,12.529375,0.70309,0.384333
1,2,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.96,9,9,1,0.7,0.7,15.0,21.8,1.0,0.142,21.2,0.016851,0.014136,0.7489,1.484108,0.7,0.861331,2.659063,9.0,-0.11,0.0,15.0,21.829754,1.0,0.141868
1,2,2,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.36,8,11,3,0.7,0.7,8.4,18.3,0.458,0.05,21.2,0.02846,0.01287,1.075449,1.232729,0.7,0.948683,2.102927,8.0,0.355172,13.773461,8.419161,18.25657,0.457633,0.05
1,2,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.16,9,4,2,2.11,1.5,22.0,9.3,0.17,0.236,21.2,0.02846,0.01283,0.756531,0.48459,2.109727,0.504878,2.829334,9.0,-0.8,19.0,22.0,9.27282,0.170072,0.236244
1,2,4,-0.353,ok,5.8,4.4,1998.28,40.13,false,5.98,10,6,1,1.086,1.086,22.0,22.0,0.537,0.05,21.2,0.019817,0.01,0.525629,1.026749,1.085637,0.479173,2.672768,10.0,0.788967,17.06348,22.0,22.0,0.536596,0.05
1,2,5,-1.161,ok,6.04,4.69,1609.97,14.25,false,6.04,8,5,1,0.935,0.935,15.2,0.7,0.562,0.995,21.2,0.010316,0.01,1.289095,1.04792,0.934994,0.773146,4.1832,8.0,0.367714,12.016055,15.236813,0.682741,0.562436,0.995279
1,2,6,-4.644,ok,6.28,5.49,1609.23,18.02,false,7.15,8,5,1,1.285,1.285,19.9,14.8,0.307,0.615,21.2,0.01266,0.01,0.510153,1.136962,1.284784,0.459039,3.167719,8.0,0.52664,12.819139,19.924364,14.754882,0.307285,0.614694
1,2,7,-3.35,ok,5.52,4.72,655.83,26.49,false,8.0,3,3,1,1.855,1.5,2.6,22.0,0.142,0.169,21.2,0.009487,0.010372,0.728101,0.903429,1.854809,0.350059,3.988427,3.0,-0.8,19.0,2.591921,22.0,0.142094,0.168688
1,2,8,8.438,ok,2.18,1.42,2003.32,7.99,false,5.06,10,3,1,1.736,1.5,22.0,12.2,0.732,0.329,21.2,0.027617,0.01,0.760485,0.802269,1.736177,0.316273,3.712109,10.0,-0.459806,19.0,22.0,12.237266,0.731738,0.329207
1,2,9,0.372,ok,4.9,3.69,1621.81,8.23,false,7.27,8,4,1,2.2,1.5,13.2,19.0,0.282,0.698,21.2,0.02339,0.011413,0.892123,0.63453,2.2,0.316228,2.421998,8.0,-0.8,15.450987,13.208612,19.005211,0.281851,0.697539
1,2,10,-2.662,ok,5.53,4.6,2366.56,6.67,false,6.97,12,3,1,1.751,1.5,18.1,9.9,0.305,0.412,21.2,0.009487,0.01,1.221675,0.626234,1.751358,0.316228,4.1832,12.0,-0.8,18.852179,18.080918,9.91502,0.305029,0.411723
1,3,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,3.87,6,8,2,0.7,0.7,9.8,22.0,1.0,0.05,21.2,0.009487,0.011597,0.679978,1.28211,0.7,0.589934,2.988,6.0,0.8,11.042472,9.814487,22.0,1.0,0.05
1,3,2,-1.549,ok,5.39,4.29,664.22,65.08,false,3.7,3,6,2,0.971,0.971,6.4,21.7,0.428,0.05,21.2,0.009487,0.010207,0.605039,1.15442,0.971213,0.651302,2.879495,3.0,0.355172,7.074586,6.371352,21.73233,0.428231,0.05
1,3,3,2.48,ok,4.52,3.13,656.81,9.05,false,7.37,3,3,1,2.128,1.5,2.5,21.2,0.322,0.362,21.2,0.009487,0.011151,0.849748,1.039815,2.128387,0.679015,3.747859,3.0,-0.224953,5.997918,2.544178,21.172163,0.321908,0.362419
1,3,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.36,9,7,2,1.086,1.086,13.5,22.0,0.513,0.279,21.2,0.019817,0.010804,0.807194,1.16744,1.085637,0.925468,2.354273,9.0,0.8,3.606887,13.494586,22.0,0.513065,0.279045
1,3,5,-4.072,ok,5.66,4.94,1605.62,13.65,false,7.82,8,3,1,1.981,1.5,7.7,22.0,0.155,0.995,21.2,0.010316,0.010372,0.468785,0.923003,1.980714,0.316228,3.757751,8.0,-0.142167,17.904898,7.714282,22.0,0.15497,0.995279
