island,mass_kg,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,r_hub_m,r_bottom_m,target_Lr,n_lines,density_profile,n_expansion,bank_angle_deg,blade_scale
1,1.0000040315619017e6,0.010603207008669806,0.010000000068411048,0.15,1.0,5.396543945697816,0.31042136888290345,3.0,3.4881880045609095,0.8,0.0,35.0,2.0
2,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136902398476,3.0,3.173275007129551,0.8,14.928716721162521,5.452732846827297,1.770552129837883
3,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,2.8822434967713186,3.0806886994566565,0.8,1.844467547866091,25.476588094671072,2.0
4,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,3.0,3.4230807740984512,0.8,0.6489239485861074,34.373230262620964,0.5074190175175353
5,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213689776256,3.0,3.015510177396139,0.8,20.0,9.569310947300488,0.005
6,1.0000040315619017e6,0.010603207008669806,0.01,0.15,0.9999999999264314,5.396543945697816,0.3104213689206926,3.0,3.1041358988265046,0.8,20.0,20.29625658663797,0.9885380514065067
7,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136892338124,3.0,3.1868502990278675,0.8,20.0,24.43978990210956,0.14646563545766586
8,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690324292,3.0,3.147618354987265,0.8,2.3658113461976313,24.28266578422171,0.8820163262236114
9,1.0000040346822813e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3,3.0,3.0,0.8,0.0,10.960065078760676,1.6247585954169765
10,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213690335719,3.0,3.1151892281988824,0.8,0.0,5.0,0.005
11,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213688748361,3.0,3.3049624523243133,0.7999999999921725,0.0,31.337753871183136,0.005
12,1.0000040315619075e6,0.010603207008669806,0.01,0.15000000021892756,1.0,5.396543945697816,0.31042137746278636,3.0,3.3824669707831463,0.8,15.299104393665878,31.10846417407638,2.0
13,1.0000040315619077e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.3104213795904677,3.0,3.0,0.8,4.785754623401122,23.597616284247586,1.0455710198638113
14,1.0000040315619017e6,0.010603207008669806,0.010000000023176211,0.15,1.0,5.396543945697816,0.310421368971208,2.999999999704132,3.0804947658997537,0.8,0.0,5.0,0.005
15,1.0000040315619112e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042138579727696,3.0,3.2147217502046654,0.8,3.625355877543474,15.400470318275508,0.7516219840425933
16,1.0000040315619101e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042138366742766,3.0,3.0,0.8,11.131950886286313,35.0,1.0982828621835896
17,1.0000040315619062e6,0.010603207008669806,0.01,0.15,0.9999999986508905,5.396543945697816,0.31042137621625626,3.0,3.1461542019035913,0.8,5.099327158337417,35.0,0.005
18,1.0000040315619017e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042136895637257,3.0,3.1577491067970027,0.8,10.45672227109672,17.06977519004525,1.6832776705716506
19,1.0000040315619191e6,0.010603207008669806,0.01,0.15,1.0,5.396543945697816,0.31042139971613597,3.0,3.4610401680367593,0.8,0.0,19.803381856925625,1.077096426242609
