island,iteration,mass_kg,phase
59,43,93.466,
59,76,65.428,
59,109,54.055,
59,142,52.559,
59,175,50.04,
59,208,47.801,
59,241,47.801,
59,274,47.736,
59,307,47.197,
59,340,47.197,
59,373,47.022,
59,406,45.975,
59,439,45.975,
59,472,45.975,
59,505,45.975,
59,538,45.975,
59,571,45.806,
59,604,45.806,
59,637,45.806,
59,670,45.806,
59,703,45.655,
59,736,45.655,
59,769,45.655,
59,802,45.562,
59,835,45.562,
59,868,45.424,
59,901,45.424,
59,934,45.302,
59,967,45.302,
59,1000,45.23,
59,1033,45.225,
59,1066,45.153,
59,1099,45.006,
59,1132,45.006,
59,1165,45.006,
59,1198,44.996,
59,1231,44.98,
59,1264,44.733,
59,1297,44.733,
59,1330,44.655,
59,1363,44.62,
59,1396,44.579,
59,1429,44.579,
59,1462,44.564,
59,1495,44.552,
59,1528,44.551,
59,1561,44.543,
59,1594,44.543,
59,1627,44.537,
59,1660,44.537,
59,1693,44.536,
59,1726,44.534,
59,1759,44.532,
59,1792,44.531,
59,1825,44.528,
59,1858,44.528,
59,1891,44.528,
59,1924,44.527,
59,1957,44.527,
59,1990,44.527,
59,2023,44.526,
59,2056,44.526,
59,2089,44.525,
59,2122,44.525,
59,2155,44.524,
59,2188,44.524,
59,2221,44.524,
59,2254,44.524,
59,2287,44.524,
59,2320,44.524,
59,2353,44.523,
59,2386,44.523,
59,2419,44.523,
59,2452,44.523,
59,2485,44.523,
59,2518,44.523,
59,2551,44.523,
59,2584,44.523,
59,2617,44.523,
59,2650,44.523,
59,2683,44.523,
59,2716,44.523,
59,2749,44.523,
59,2782,44.523,
59,2815,44.523,
59,2848,44.523,
59,2881,44.523,
59,2914,44.523,
59,2947,44.523,
59,2980,44.523,
59,3013,44.523,
59,3046,44.523,
59,3079,44.523,
59,3112,44.523,
59,3145,44.523,
59,3178,44.523,
59,3211,44.523,
59,3244,44.523,
59,3277,44.523,
59,3310,44.523,
59,3343,44.523,
59,3376,44.523,
59,3409,44.523,
59,3442,44.523,
59,3475,44.523,
59,3508,44.523,
59,3541,44.523,
59,3574,44.523,
59,3607,44.523,
59,3640,44.523,
59,3673,44.523,
59,3706,44.523,
59,3739,44.523,
59,3772,44.523,
59,3805,44.523,
59,3838,44.523,
59,3871,44.523,
59,3904,44.523,
59,3937,44.523,
59,3970,44.523,
59,4003,44.523,
59,4036,44.523,
59,4069,44.523,
59,4102,44.523,
59,4135,44.523,
59,4168,44.523,
59,4201,44.523,
59,4234,44.523,
59,4267,44.523,
59,4300,44.523,
59,4333,44.523,
59,4366,44.523,
59,4399,44.523,
59,4432,44.523,
59,4465,44.523,
59,4498,44.523,
59,4531,44.523,
59,4564,44.523,
59,4597,44.523,
59,4630,44.523,
59,4663,44.523,
59,4696,44.523,
59,4729,44.523,
59,4762,44.523,
59,4795,44.523,
59,4828,44.523,
59,4861,44.523,
59,4894,44.523,
59,4927,44.523,
59,4960,44.523,
59,4993,44.523,
59,5026,44.523,
59,5059,44.523,
59,5092,44.523,
59,5125,44.523,
59,5158,44.523,
59,5191,44.523,
59,5224,44.523,
59,5257,44.523,
59,5290,44.523,
59,5323,44.523,
59,5356,44.523,
59,5389,44.523,
59,5458,76.912,
59,5491,61.214,
59,5524,53.311,
59,5557,50.375,
59,5590,50.124,
59,5623,48.512,
59,5656,48.512,
59,5689,48.512,
59,5722,47.675,
59,5755,47.675,
59,5788,47.675,
59,5821,47.675,
59,5854,47.675,
59,5887,47.675,
59,5920,47.546,
59,5953,46.905,
59,5986,46.905,
59,6019,46.837,
59,6052,46.837,
59,6085,46.268,
59,6118,45.952,
59,6151,45.95,
59,6184,45.646,
59,6217,45.646,
59,6250,45.646,
59,6283,45.646,
59,6316,45.646,
59,6349,45.311,
59,6382,45.311,
59,6415,45.311,
59,6448,45.306,
59,6481,45.23,
59,6514,44.949,
59,6547,44.943,
59,6580,44.943,
59,6613,44.943,
59,6646,44.863,
59,6679,44.823,
59,6712,44.823,
59,6745,44.766,
59,6778,44.716,
59,6811,44.678,
59,6844,44.674,
59,6877,44.641,
59,6910,44.623,
59,6943,44.587,
59,6976,44.56,
59,7009,44.56,
59,7042,44.559,
59,7075,44.559,
59,7108,44.546,
59,7141,44.543,
59,7174,44.543,
59,7207,44.541,
59,7240,44.535,
59,7273,44.535,
59,7306,44.529,
59,7339,44.528,
59,7372,44.528,
59,7405,44.528,
59,7438,44.527,
59,7471,44.526,
59,7504,44.526,
59,7537,44.526,
59,7570,44.526,
59,7603,44.526,
59,7636,44.525,
59,7669,44.525,
59,7702,44.524,
59,7735,44.524,
59,7768,44.524,
59,7801,44.524,
59,7834,44.523,
59,7867,44.523,
59,7900,44.523,
59,7933,44.523,
59,7966,44.523,
59,7999,44.523,
59,8032,44.523,
59,8065,44.523,
59,8098,44.523,
59,8131,44.523,
59,8164,44.523,
59,8197,44.523,
59,8230,44.523,
59,8263,44.523,
59,8296,44.523,
59,8329,44.523,
59,8362,44.523,
59,8395,44.523,
59,8428,44.523,
59,8461,44.523,
59,8494,44.523,
59,8527,44.523,
59,8560,44.523,
59,8593,44.523,
59,8626,44.523,
59,8659,44.523,
59,8692,44.523,
59,8725,44.523,
59,8758,44.523,
59,8791,44.523,
59,8824,44.523,
59,8857,44.523,
59,8890,44.523,
59,8923,44.523,
59,8956,44.523,
59,8989,44.523,
59,9022,44.523,
59,9055,44.523,
59,9088,44.523,
59,9121,44.523,
59,9154,44.523,
59,9187,44.523,
59,9220,44.523,
59,9253,44.523,
59,9286,44.523,
59,9319,44.523,
59,9352,44.523,
59,9385,44.523,
59,9418,44.523,
59,9451,44.523,
59,9484,44.523,
59,9517,44.523,
59,9550,44.523,
59,9583,44.523,
59,9616,44.523,
59,9649,44.523,
59,9682,44.523,
59,9715,44.523,
59,9748,44.523,
59,9781,44.523,
59,9814,44.523,
59,9847,44.523,
59,9880,44.523,
59,9913,44.523,
59,9946,44.523,
59,9979,44.523,
53,70,65.017,
53,103,57.256,
53,136,53.294,
53,169,51.499,
53,202,50.812,
53,235,49.924,
53,268,49.421,
53,301,49.262,
53,334,48.575,
53,367,48.52,
53,400,47.173,
53,433,47.173,
53,466,47.173,
53,499,47.173,
53,532,46.615,
53,565,46.328,
53,598,46.328,
53,631,46.089,
53,664,45.686,
53,697,45.686,
53,730,45.686,
53,763,45.686,
53,796,45.656,
53,829,45.556,
53,862,45.556,
53,895,45.327,
53,928,45.296,
53,961,44.961,
53,994,44.961,
53,1027,44.961,
53,1060,44.961,
53,1093,44.961,
53,1126,44.849,
53,1159,44.795,
53,1192,44.795,
53,1225,44.795,
53,1258,44.791,
53,1291,44.714,
53,1324,44.648,
53,1357,44.648,
53,1390,44.645,
53,1423,44.595,
53,1456,44.593,
53,1489,44.588,
53,1522,44.576,
53,1555,44.565,
53,1588,44.559,
53,1621,44.559,
53,1654,44.555,
53,1687,44.544,
53,1720,44.538,
53,1753,44.535,
53,1786,44.532,
53,1819,44.53,
53,1852,44.53,
53,1885,44.53,
53,1918,44.53,
53,1951,44.527,
53,1984,44.527,
53,2017,44.527,
53,2050,44.526,
53,2083,44.526,
53,2116,44.526,
53,2149,44.525,
53,2182,44.524,
53,2215,44.524,
53,2248,44.524,
53,2281,44.524,
53,2314,44.524,
53,2347,44.524,
53,2380,44.523,
53,2413,44.523,
53,2446,44.523,
53,2479,44.523,
53,2512,44.523,
53,2545,44.523,
53,2578,44.523,
53,2611,44.523,
53,2644,44.523,
53,2677,44.523,
53,2710,44.523,
53,2743,44.523,
53,2776,44.523,
53,2809,44.523,
53,2842,44.523,
53,2875,44.523,
53,2908,44.523,
53,2941,44.523,
53,2974,44.523,
53,3007,44.523,
53,3040,44.523,
53,3073,44.523,
53,3106,44.523,
53,3139,44.523,
53,3172,44.523,
53,3205,44.523,
53,3238,44.523,
53,3271,44.523,
53,3304,44.523,
53,3337,44.523,
53,3370,44.523,
53,3403,44.523,
53,3436,44.523,
53,3469,44.523,
53,3502,44.523,
53,3535,44.523,
53,3568,44.523,
53,3601,44.523,
53,3634,44.523,
53,3667,44.523,
53,3700,44.523,
53,3733,44.523,
53,3766,44.523,
53,3799,44.523,
53,3832,44.523,
53,3865,44.523,
53,3898,44.523,
53,3931,44.523,
53,3964,44.523,
53,3997,44.523,
53,4030,44.523,
53,4063,44.523,
53,4096,44.523,
53,4129,44.523,
53,4162,44.523,
53,4195,44.523,
53,4228,44.523,
53,4261,44.523,
53,4294,44.523,
53,4327,44.523,
53,4360,44.523,
53,4393,44.523,
53,4426,44.523,
53,4459,44.523,
53,4492,44.523,
53,4525,44.523,
53,4558,44.523,
53,4591,44.523,
53,4624,44.523,
53,4657,44.523,
53,4690,44.523,
53,4723,44.523,
53,4756,44.523,
53,4789,44.523,
53,4822,44.523,
53,4855,44.523,
53,4888,44.523,
53,4921,44.523,
53,4954,44.523,
53,4987,44.523,
53,5058,64.002,
53,5091,56.717,
53,5124,50.485,
53,5157,50.222,
53,5190,49.142,
53,5223,49.142,
53,5256,48.795,
53,5289,48.409,
53,5322,46.855,
53,5355,46.855,
53,5388,46.855,
53,5421,46.855,
53,5454,46.855,
53,5487,46.855,
53,5520,46.855,
53,5553,46.855,
53,5586,46.767,
53,5619,46.649,
53,5652,46.424,
53,5685,46.424,
53,5718,45.84,
53,5751,45.84,
53,5784,45.84,
53,5817,45.529,
53,5850,45.529,
53,5883,45.529,
53,5916,45.529,
53,5949,45.453,
53,5982,45.279,
53,6015,45.192,
53,6048,45.192,
53,6081,45.181,
53,6114,45.181,
53,6147,45.04,
53,6180,45.013,
53,6213,45.013,
53,6246,45.003,
53,6279,44.923,
53,6312,44.858,
53,6345,44.801,
53,6378,44.732,
53,6411,44.688,
53,6444,44.638,
53,6477,44.605,
53,6510,44.562,
53,6543,44.562,
53,6576,44.549,
53,6609,44.544,
53,6642,44.542,
53,6675,44.537,
53,6708,44.535,
53,6741,44.532,
53,6774,44.531,
53,6807,44.528,
53,6840,44.527,
53,6873,44.526,
53,6906,44.526,
53,6939,44.524,
53,6972,44.524,
53,7005,44.524,
53,7038,44.524,
53,7071,44.524,
53,7104,44.524,
53,7137,44.523,
53,7170,44.523,
53,7203,44.523,
53,7236,44.523,
53,7269,44.523,
53,7302,44.523,
53,7335,44.523,
53,7368,44.523,
53,7401,44.523,
53,7434,44.523,
53,7467,44.523,
53,7500,44.523,
53,7533,44.523,
53,7566,44.523,
53,7599,44.523,
53,7632,44.523,
53,7665,44.523,
53,7698,44.523,
53,7731,44.523,
53,7764,44.523,
53,7797,44.523,
53,7830,44.523,
53,7863,44.523,
53,7896,44.523,
53,7929,44.523,
53,7962,44.523,
53,7995,44.523,
53,8028,44.523,
53,8061,44.523,
53,8094,44.523,
53,8127,44.523,
53,8160,44.523,
53,8193,44.523,
53,8226,44.523,
53,8259,44.523,
53,8292,44.523,
53,8325,44.523,
53,8358,44.523,
53,8391,44.523,
53,8424,44.523,
53,8457,44.523,
53,8490,44.523,
53,8523,44.523,
53,8556,44.523,
53,8589,44.523,
53,8622,44.523,
53,8655,44.523,
53,8688,44.523,
53,8721,44.523,
53,8754,44.523,
53,8787,44.523,
53,8820,44.523,
53,8853,44.523,
53,8886,44.523,
53,8919,44.523,
53,8952,44.523,
53,8985,44.523,
53,9018,44.523,
53,9051,44.523,
53,9084,44.523,
53,9117,44.523,
53,9150,44.523,
53,9183,44.523,
53,9216,44.523,
53,9249,44.523,
53,9282,44.523,
53,9315,44.523,
53,9348,44.523,
53,9381,44.523,
53,9414,44.523,
53,9447,44.523,
53,9480,44.523,
53,9513,44.523,
53,9546,44.523,
53,9579,44.523,
53,9612,44.523,
53,9645,44.523,
53,9678,44.523,
53,9711,44.523,
53,9744,44.523,
53,9777,44.523,
53,9810,44.523,
53,9843,44.523,
53,9876,44.523,
53,9909,44.523,
53,9942,44.523,
53,9975,44.523,
17,35,91.097,
17,68,61.401,
17,101,53.023,
17,134,51.158,
17,167,49.858,
17,200,49.563,
17,233,49.054,
17,266,49.054,
17,299,48.97,
17,332,48.276,
17,365,47.306,
17,398,47.306,
17,431,47.306,
17,464,47.306,
17,497,47.251,
17,530,47.216,
17,563,46.837,
17,596,46.837,
17,629,46.145,
17,662,46.015,
17,695,45.476,
17,728,45.476,
17,761,45.149,
17,794,45.149,
17,827,45.149,
17,860,45.149,
17,893,45.149,
17,926,45.149,
17,959,45.149,
17,992,45.149,
17,1025,45.149,
17,1058,45.113,
17,1091,45.113,
17,1124,45.113,
17,1157,45.113,
17,1190,45.013,
17,1223,45.013,
17,1256,44.923,
17,1289,44.923,
17,1322,44.923,
17,1355,44.923,
17,1388,44.864,
17,1421,44.813,
17,1454,44.711,
17,1487,44.711,
17,1520,44.711,
17,1553,44.647,
17,1586,44.616,
17,1619,44.6,
17,1652,44.59,
17,1685,44.569,
17,1718,44.569,
17,1751,44.554,
17,1784,44.554,
17,1817,44.552,
17,1850,44.542,
17,1883,44.538,
17,1916,44.537,
17,1949,44.537,
17,1982,44.536,
17,2015,44.535,
17,2048,44.532,
17,2081,44.529,
17,2114,44.529,
17,2147,44.528,
17,2180,44.527,
17,2213,44.526,
17,2246,44.526,
17,2279,44.526,
17,2312,44.525,
17,2345,44.525,
17,2378,44.524,
17,2411,44.524,
17,2444,44.524,
17,2477,44.524,
17,2510,44.524,
17,2543,44.523,
17,2576,44.523,
17,2609,44.523,
17,2642,44.523,
17,2675,44.523,
17,2708,44.523,
17,2741,44.523,
17,2774,44.523,
17,2807,44.523,
17,2840,44.523,
17,2873,44.523,
17,2906,44.523,
17,2939,44.523,
17,2972,44.523,
17,3005,44.523,
17,3038,44.523,
17,3071,44.523,
17,3104,44.523,
17,3137,44.523,
17,3170,44.523,
17,3203,44.523,
17,3236,44.523,
17,3269,44.523,
17,3302,44.523,
17,3335,44.523,
17,3368,44.523,
17,3401,44.523,
17,3434,44.523,
17,3467,44.523,
17,3500,44.523,
17,3533,44.523,
17,3566,44.523,
17,3599,44.523,
17,3632,44.523,
17,3665,44.523,
17,3698,44.523,
17,3731,44.523,
17,3764,44.523,
17,3797,44.523,
17,3830,44.523,
17,3863,44.523,
17,3896,44.523,
17,3929,44.523,
17,3962,44.523,
17,3995,44.523,
17,4028,44.523,
17,4061,44.523,
17,4094,44.523,
17,4127,44.523,
17,4160,44.523,
17,4193,44.523,
17,4226,44.523,
17,4259,44.523,
17,4292,44.523,
17,4325,44.523,
17,4358,44.523,
17,4391,44.523,
17,4424,44.523,
17,4457,44.523,
17,4490,44.523,
17,4523,44.523,
17,4556,44.523,
17,4589,44.523,
17,4622,44.523,
17,4655,44.523,
17,4688,44.523,
17,4757,69.084,
17,4790,56.711,
17,4823,50.252,
17,4856,49.779,
17,4889,48.569,
17,4922,48.441,
17,4955,48.441,
17,4988,47.73,
17,5021,47.685,
17,5054,47.685,
17,5087,46.619,
17,5120,46.245,
17,5153,46.182,
17,5186,45.505,
17,5219,45.505,
17,5252,45.471,
17,5285,45.471,
17,5318,45.471,
17,5351,45.471,
17,5384,45.471,
17,5417,45.471,
17,5450,45.471,
17,5483,45.438,
17,5516,45.318,
17,5549,45.274,
17,5582,45.123,
17,5615,45.123,
17,5648,45.054,
17,5681,44.893,
17,5714,44.81,
17,5747,44.81,
17,5780,44.81,
17,5813,44.806,
17,5846,44.707,
17,5879,44.651,
17,5912,44.651,
17,5945,44.651,
17,5978,44.616,
17,6011,44.572,
17,6044,44.572,
17,6077,44.556,
17,6110,44.553,
17,6143,44.541,
17,6176,44.537,
17,6209,44.534,
17,6242,44.533,
17,6275,44.529,
17,6308,44.526,
17,6341,44.526,
17,6374,44.525,
17,6407,44.525,
17,6440,44.524,
17,6473,44.524,
17,6506,44.524,
17,6539,44.524,
17,6572,44.523,
17,6605,44.523,
17,6638,44.523,
17,6671,44.523,
17,6704,44.523,
17,6737,44.523,
17,6770,44.523,
17,6803,44.523,
17,6836,44.523,
17,6869,44.523,
17,6902,44.523,
17,6935,44.523,
17,6968,44.523,
17,7001,44.523,
17,7034,44.523,
17,7067,44.523,
17,7100,44.523,
17,7133,44.523,
17,7166,44.523,
17,7199,44.523,
17,7232,44.523,
17,7265,44.523,
17,7298,44.523,
17,7331,44.523,
17,7364,44.523,
17,7397,44.523,
17,7430,44.523,
17,7463,44.523,
17,7496,44.523,
17,7529,44.523,
17,7562,44.523,
17,7595,44.523,
17,7628,44.523,
17,7661,44.523,
17,7694,44.523,
17,7727,44.523,
17,7760,44.523,
17,7793,44.523,
17,7826,44.523,
17,7859,44.523,
17,7892,44.523,
17,7925,44.523,
17,7958,44.523,
17,7991,44.523,
17,8024,44.523,
17,8057,44.523,
17,8090,44.523,
17,8123,44.523,
17,8156,44.523,
17,8189,44.523,
17,8222,44.523,
17,8255,44.523,
17,8288,44.523,
17,8321,44.523,
17,8354,44.523,
17,8387,44.523,
17,8458,77.381,
17,8491,64.79,
17,8524,53.337,
17,8557,50.472,
17,8590,49.774,
17,8623,48.942,
17,8656,48.942,
17,8689,48.783,
17,8722,48.758,
17,8755,48.599,
17,8788,48.562,
17,8821,48.431,
17,8854,48.431,
17,8887,48.088,
17,8920,48.088,
17,8953,47.95,
17,8986,47.422,
17,9019,47.123,
17,9052,46.633,
17,9085,46.633,
17,9118,46.633,
17,9151,46.633,
17,9184,45.989,
17,9217,45.989,
17,9250,45.378,
17,9283,45.354,
17,9316,45.354,
17,9349,45.153,
17,9382,45.153,
17,9415,45.153,
17,9448,45.081,
17,9481,45.081,
17,9514,45.081,
17,9547,44.914,
17,9580,44.914,
17,9613,44.86,
17,9646,44.681,
17,9679,44.663,
17,9712,44.63,
17,9745,44.611,
17,9778,44.572,
17,9811,44.572,
17,9844,44.563,
17,9877,44.55,
17,9910,44.55,
17,9943,44.542,
17,9976,44.532,
45,67,64.087,
45,100,55.762,
45,133,52.457,
45,166,51.077,
45,199,50.399,
45,232,49.609,
45,265,49.532,
45,298,49.158,
45,331,49.158,
45,364,48.861,
45,397,48.299,
45,430,48.299,
45,463,47.392,
45,496,47.392,
45,529,47.392,
45,562,47.392,
45,595,47.392,
45,628,46.987,
45,661,46.987,
45,694,46.615,
