island,iteration,fitness
1,1,-5.689309923870344
1,2,-5.689309923870344
1,3,-5.689309923870344
1,4,-5.689309923870344
1,5,-5.689309923870344
1,6,-5.689309923870344
1,7,-6.080382613251582
1,8,-6.080382613251582
1,9,-6.080382613251582
1,10,-6.080382613251582
1,11,-6.080382613251582
1,12,-6.659484864851544
1,13,-6.659484864851544
1,14,-6.659484864851544
1,15,-6.659484864851544
1,16,-6.659484864851544
1,17,-6.659484864851544
1,18,-6.659484864851544
1,19,-6.659484864851544
1,20,-6.659484864851544
1,21,-6.659484864851544
1,22,-6.659484864851544
1,23,-6.659484864851544
1,24,-6.659484864851544
1,25,-6.659484864851544
1,26,-6.659484864851544
1,27,-6.659484864851544
1,28,-6.659484864851544
1,29,-6.659484864851544
1,30,-6.659484864851544
2,1,-3.9008873368936294
2,2,-5.900308474320153
2,3,-5.900308474320153
2,4,-6.298217453670859
2,5,-6.298217453670859
2,6,-6.298217453670859
2,7,-6.298217453670859
2,8,-6.298217453670859
2,9,-6.298217453670859
2,10,-6.298217453670859
2,11,-6.298217453670859
2,12,-6.298217453670859
2,13,-6.298217453670859
2,14,-6.298217453670859
2,15,-6.298217453670859
2,16,-6.298217453670859
2,17,-6.298217453670859
2,18,-6.298217453670859
2,19,-6.298217453670859
2,20,-6.298217453670859
2,21,-6.298217453670859
2,22,-6.298217453670859
2,23,-6.298217453670859
2,24,-6.298217453670859
2,25,-6.298217453670859
2,26,-6.298217453670859
2,27,-6.298217453670859
2,28,-6.298217453670859
2,29,-6.298217453670859
2,30,-6.298217453670859
3,1,-5.952458137841994
3,2,-5.952458137841994
3,3,-5.952458137841994
3,4,-5.952458137841994
3,5,-5.952458137841994
3,6,-5.952458137841994
3,7,-5.952458137841994
3,8,-5.952458137841994
3,9,-6.0300223936202375
3,10,-6.113175380568061
3,11,-6.113175380568061
3,12,-6.113175380568061
3,13,-6.113175380568061
3,14,-6.171771020273874
3,15,-6.171771020273874
3,16,-6.171771020273874
3,17,-6.171771020273874
3,18,-6.171771020273874
3,19,-6.171771020273874
3,20,-6.171771020273874
3,21,-6.171771020273874
3,22,-6.171771020273874
3,23,-6.171771020273874
3,24,-6.171771020273874
3,25,-6.171771020273874
3,26,-6.22401631185139
3,27,-6.22401631185139
3,28,-6.22401631185139
3,29,-6.22401631185139
3,30,-6.22401631185139
